attempt_id,order_id,attempt_number,attempt_date_time,attempt_status,remarks,otp_shared
ATT0000001,ORD0000001,1,21-05-2026 11:05,Delivered,Handed To Customer,
ATT0000002,ORD0000002,1,25-04-2026 12:53,Out of Delivery Area,"Pin  Not  Fully  Serviceable,  Ofd  Delay",
ATT0000003,ORD0000002,2,28-04-2026 12:53,Delivered,"Delivered, Otp Verified",
ATT0000004,ORD0000003,1,01-06-2026 16:59,Refused - COD Amount Not Ready,"Customer Not Ready With Cash, Asked To Reattempt",
ATT0000005,ORD0000003,2,02-06-2026 16:59,Customer Not Available,"Cust Nt Avl, Will Retry Next Day",
ATT0000006,ORD0000003,3,03-06-2026 16:59,Delivered,Delivered Successfully,Y
ATT0000007,ORD0000004,1,21-07-2026 02:54,Delivered,Delivered Successfully,
ATT0000008,ORD0000005,1,11-05-2026 11:29,Delivered,Handed To Customer,
ATT0000009,ORD0000006,1,08-07-2026 07:52,Refused - Changed Mind, Customer Said Dont Want It Anymore ,
ATT0000010,ORD0000006,2,11-07-2026 07:52,Out of Delivery Area,"Pin Not Fully Serviceable, Ofd Delay",
ATT0000011,ORD0000006,3,13-07-2026 07:52,Refused - COD Amount Not Ready,"Customer Not Ready With Cash, Asked To Reattempt",
ATT0000012,ORD0000008,1,23-07-2026 09:09,Out of Delivery Area,"Pin Not Fully Serviceable, Ofd Delay",
ATT0000013,ORD0000009,1,19-04-2026 14:05,Address Not Found,Wrong Addr / No Such Person At Location,
ATT0000014,ORD0000009,2,21-04-2026 14:05,Delivered,N/A,
ATT0000015,ORD0000010,1,08-05-2026 10:46,Delivered,N/A,
ATT0000016,ORD0000011,1,09-03-2026 17:30,Out of Delivery Area,"Pin Not Fully Serviceable, Ofd Delay",
ATT0000017,ORD0000011,2,11-03-2026 17:30,Delivered,Handed To Customer,Y
ATT0000018,ORD0000012,1,05-07-2026 03:16,Delivered,N/A,
ATT0000019,ORD0000013,1,16-02-2026 21:05,Rescheduled by Customer,Cust Asked To Deliver On Weekend,
ATT0000020,ORD0000013,2,18-02-2026 21:05,Delivered,Handed To Customer,
ATT0000021,ORD0000014,1,02-08-2026 07:28,Address Not Found,Wrong Addr / No Such Person At Location,
ATT0000022,ORD0000014,2,03-08-2026 07:28,Customer Not Available,"Cust Nt Avl, Will Retry Next Day",
ATT0000023,ORD0000015,1,02-03-2026 22:14,Refused - Changed Mind,Customer Said Dont Want It Anymore,
ATT0000024,ORD0000015,2,03-03-2026 22:14,Delivered,"Delivered, Otp Verified",
ATT0000025,ORD0000016,1,06-05-2026 10:41,Delivered,Delivered Successfully,Y
ATT0000026,ORD0000017,1,18-04-2026 10:23,Delivered,"Delivered, Otp Verified",N
ATT0000027,ORD0000018,1,08-05-2026 18:06,Delivered,N/A,
ATT0000028,ORD0000019,1,28-05-2026 16:46,Delivered,"Delivered, Otp Verified",
ATT0000029,ORD0000020,1,21-02-2026 02:23,Delivered,"Delivered, Otp Verified",N
ATT0000030,ORD0000021,1,20-02-2026 13:47,Refused - Changed Mind,Customer Said Dont Want It Anymore,
ATT0000031,ORD0000021,2,23-02-2026 13:47,Rescheduled by Customer,Cust Asked To Deliver On Weekend,
ATT0000032,ORD0000022,1,20-02-2026 15:26,Delivered,Delivered Successfully,
ATT0000033,ORD0000023,1,09-05-2026 02:34,Delivered,Delivered Successfully,
ATT0000034,ORD0000024,1,20-04-2026 07:34,Delivered,Handed To Customer,
ATT0000035,ORD0000025,1,27-04-2026 02:35,Delivered,N/A,
ATT0000036,ORD0000026,1,21-06-2026 11:29,Out of Delivery Area,"Pin Not Fully Serviceable, Ofd Delay",
ATT0000037,ORD0000026,2,22-06-2026 11:29,Out of Delivery Area,"Pin Not Fully Serviceable, Ofd Delay",
ATT0000038,ORD0000026,3,24-06-2026 11:29,Refused - COD Amount Not Ready,"Customer Not Ready With Cash, Asked To Reattempt",
ATT0000039,ORD0000026,4,26-06-2026 11:29,Refused - Changed Mind, Customer Said Dont Want It Anymore ,
ATT0000040,ORD0000027,1,23-04-2026 01:13,Delivered,N/A,N
ATT0000041,ORD0000028,1,03-03-2026 18:40,Delivered,N/A,
ATT0000042,ORD0000029,1,10-02-2026 07:52,Refused - COD Amount Not Ready,"Customer Not Ready With Cash, Asked To Reattempt",
ATT0000043,ORD0000029,2,13-02-2026 07:52,Delivered,N/A,Y
ATT0000044,ORD0000030,1,09-07-2026 10:27,Delivered,"Delivered, Otp Verified",Y
ATT0000045,ORD0000031,1,07-03-2026 23:11,Delivered,Delivered Successfully,
ATT0000046,ORD0000032,1,15-04-2026 21:50,Delivered,"Delivered, Otp Verified",
ATT0000047,ORD0000033,1,12-07-2026 10:52,Delivered,"Delivered, Otp Verified",
ATT0000048,ORD0000034,1,07-07-2026 02:02,Delivered,N/A,
ATT0000049,ORD0000035,1,30-04-2026 01:00,Rescheduled by Customer,Cust Asked To Deliver On Weekend,
ATT0000050,ORD0000035,2,03-05-2026 01:00,Delivered,"Delivered, Otp Verified",N
ATT0000051,ORD0000036,1,29-05-2026 07:23,Refused - Changed Mind,Customer Said Dont Want It Anymore,
