event_id,order_id,status,event_timestamp,updated_by,rto_status
EVT00000001,ORD0000001,Order Placed,17-05-2026 15:05,System,Non-RTO
EVT00000002,ORD0000001,Packed,18-05-2026 00:05,Seller Panel,Non-RTO
EVT00000003,ORD0000001,Shipped,18-05-2026 11:05,Courier Partner,Non-RTO
EVT00000004,ORD0000001,Out for Delivery,21-05-2026 07:05,Courier Partner,Non-RTO
EVT00000005,ORD0000001,Delivered,21-05-2026 12:31,Courier Partner,Non-RTO
EVT00000006,ORD0000002,Order Placed,20-04-2026 21:53,System,Non-RTO
EVT00000007,ORD0000002,Packed,21-04-2026 13:53,Seller Panel,Non-RTO
EVT00000008,ORD0000002,Shipped,22-04-2026 12:53,Courier Partner,Non-RTO
EVT00000009,ORD0000002,Out for Delivery,25-04-2026 11:53,Courier Partner,Non-RTO
EVT00000010,ORD0000002,Delivery Failed,25-04-2026 13:36,Courier Partner,Non-RTO
EVT00000011,ORD0000002,Out for Delivery,28-04-2026 09:53,Courier Partner,Non-RTO
EVT00000012,ORD0000002,Delivered,28-04-2026 13:42,Courier Partner,Non-RTO
EVT00000013,ORD0000003,Order Placed,27-05-2026 17:59,System,Non-RTO
EVT00000014,ORD0000003,Packed,28-05-2026 00:59,Seller Panel,Non-RTO
EVT00000015,ORD0000003,Shipped,28-05-2026 16:59,Courier Partner,Non-RTO
EVT00000016,ORD0000003,Out for Delivery,01-06-2026 15:59,Courier Partner,Non-RTO
EVT00000017,ORD0000003,Delivery Failed,01-06-2026 17:33,Courier Partner,Non-RTO
EVT00000018,ORD0000003,Out for Delivery,02-06-2026 15:59,Courier Partner,Non-RTO
EVT00000019,ORD0000003,Delivery Failed,02-06-2026 17:50,Courier Partner,Non-RTO
EVT00000020,ORD0000003,Out for Delivery,03-06-2026 14:59,Courier Partner,Non-RTO
EVT00000021,ORD0000003,Delivered,03-06-2026 17:14,Courier Partner,Non-RTO
EVT00000022,ORD0000004,Order Placed,13-07-2026 14:54,System,Non-RTO
EVT00000023,ORD0000004,Packed,14-07-2026 06:54,Seller Panel,Non-RTO
EVT00000024,ORD0000004,Shipped,15-07-2026 02:54,Courier Partner,Non-RTO
EVT00000025,ORD0000004,Out for Delivery,20-07-2026 22:54,Courier Partner,Non-RTO
EVT00000026,ORD0000004,Delivered,21-07-2026 03:36,Courier Partner,Non-RTO
EVT00000027,ORD0000005,Order Placed,07-05-2026 16:29,System,Non-RTO
EVT00000028,ORD0000005,Packed,07-05-2026 21:29,Seller Panel,Non-RTO
EVT00000029,ORD0000005,Shipped,08-05-2026 11:29,Courier Partner,Non-RTO
EVT00000030,ORD0000005,Out for Delivery,11-05-2026 10:29,Courier Partner,Non-RTO
EVT00000031,ORD0000005,Delivered,11-05-2026 12:16,Courier Partner,Non-RTO
EVT00000032,ORD0000006,Order Placed,02-07-2026 19:52,System,Non-RTO
EVT00000033,ORD0000006,Packed,03-07-2026 14:52,Seller Panel,Non-RTO
EVT00000034,ORD0000006,Shipped,04-07-2026 07:52,Courier Partner,Non-RTO
EVT00000035,ORD0000006,Out for Delivery,08-07-2026 03:52,Courier Partner,Non-RTO
EVT00000036,ORD0000006,Delivery Failed,08-07-2026 08:41,Courier Partner,Non-RTO
EVT00000037,ORD0000006,Out for Delivery,11-07-2026 06:52,Courier Partner,Non-RTO
EVT00000038,ORD0000006,Delivery Failed,11-07-2026 08:15,Courier Partner,Non-RTO
EVT00000039,ORD0000006,Out for Delivery,13-07-2026 06:52,Courier Partner,Non-RTO
EVT00000040,ORD0000006,Delivery Failed,13-07-2026 08:42,Courier Partner,Non-RTO
EVT00000041,ORD0000006,RTO Initiated,13-07-2026 21:42,Courier Partner,RTO
EVT00000042,ORD0000006,RTO In Transit,16-07-2026 21:42,Courier Partner,RTO
EVT00000043,ORD0000006,RTO Received at Warehouse,17-07-2026 21:42,Seller Panel,RTO
EVT00000044,ORD0000007,Order Placed,09-02-2026 15:05,System,Non-RTO
EVT00000045,ORD0000007,Cancelled by Seller,10-02-2026 15:05,Seller Panel,Non-RTO
EVT00000046,ORD0000008,Order Placed,16-07-2026 15:09,System,Non-RTO
EVT00000047,ORD0000008,Packed,17-07-2026 00:09,Seller Panel,Non-RTO
EVT00000048,ORD0000008,Shipped,17-07-2026 09:09,Courier Partner,Non-RTO
EVT00000049,ORD0000008,Out for Delivery,23-07-2026 07:09,Courier Partner,Non-RTO
EVT00000050,ORD0000008,Delivery Failed,23-07-2026 09:16,Courier Partner,Non-RTO
EVT00000051,ORD0000008,RTO Initiated,24-07-2026 22:16,Courier Partner,RTO
EVT00000052,ORD0000008,RTO In Transit,27-07-2026 22:16,Courier Partner,RTO
EVT00000053,ORD0000008,RTO Received at Warehouse,31-07-2026 22:16,Seller Panel,RTO
EVT00000054,ORD0000009,Order Placed,13-04-2026 23:05,System,Non-RTO
EVT00000055,ORD0000009,Packed,14-04-2026 09:05,Seller Panel,Non-RTO
EVT00000056,ORD0000009,Shipped,15-04-2026 14:05,Courier Partner,Non-RTO
EVT00000057,ORD0000009,Out for Delivery,19-04-2026 12:05,Courier Partner,Non-RTO
EVT00000058,ORD0000009,Delivery Failed,19-04-2026 14:47,Courier Partner,Non-RTO
EVT00000059,ORD0000009,Out for Delivery,21-04-2026 11:05,Courier Partner,Non-RTO
EVT00000060,ORD0000009,Delivered,21-04-2026 15:27,Courier Partner,Non-RTO
EVT00000061,ORD0000010,Order Placed,01-05-2026 15:46,System,Non-RTO
EVT00000062,ORD0000010,Packed,02-05-2026 05:46,Seller Panel,Non-RTO
EVT00000063,ORD0000010,Shipped,03-05-2026 10:46,Courier Partner,Non-RTO
EVT00000064,ORD0000010,Out for Delivery,08-05-2026 09:46,Courier Partner,Non-RTO
EVT00000065,ORD0000010,Delivered,08-05-2026 11:51,Courier Partner,Non-RTO
EVT00000066,ORD0000011,Order Placed,07-03-2026 17:30,System,Non-RTO
EVT00000067,ORD0000011,Packed,08-03-2026 05:30,Seller Panel,Non-RTO
EVT00000068,ORD0000011,Shipped,08-03-2026 17:30,Courier Partner,Non-RTO
EVT00000069,ORD0000011,Out for Delivery,09-03-2026 14:30,Courier Partner,Non-RTO
EVT00000070,ORD0000011,Delivery Failed,09-03-2026 18:17,Courier Partner,Non-RTO
EVT00000071,ORD0000011,Out for Delivery,11-03-2026 16:30,Courier Partner,Non-RTO
EVT00000072,ORD0000011,Delivered,11-03-2026 17:39,Courier Partner,Non-RTO
EVT00000073,ORD0000012,Order Placed,30-06-2026 23:16,System,Non-RTO
EVT00000074,ORD0000012,Packed,01-07-2026 10:16,Seller Panel,Non-RTO
EVT00000075,ORD0000012,Shipped,02-07-2026 03:16,Courier Partner,Non-RTO
EVT00000076,ORD0000012,Out for Delivery,04-07-2026 23:16,Courier Partner,Non-RTO
EVT00000077,ORD0000012,Delivered,05-07-2026 03:51,Courier Partner,Non-RTO
EVT00000078,ORD0000013,Order Placed,14-02-2026 14:05,System,Non-RTO
EVT00000079,ORD0000013,Packed,15-02-2026 01:05,Seller Panel,Non-RTO
EVT00000080,ORD0000013,Shipped,15-02-2026 21:05,Courier Partner,Non-RTO
EVT00000081,ORD0000013,Out for Delivery,16-02-2026 19:05,Courier Partner,Non-RTO
EVT00000082,ORD0000013,Delivery Failed,16-02-2026 21:13,Courier Partner,Non-RTO
EVT00000083,ORD0000013,Out for Delivery,18-02-2026 17:05,Courier Partner,Non-RTO
EVT00000084,ORD0000013,Delivered,18-02-2026 21:53,Courier Partner,Non-RTO
EVT00000085,ORD0000014,Order Placed,25-07-2026 17:28,System,Non-RTO
EVT00000086,ORD0000014,Packed,26-07-2026 06:28,Seller Panel,Non-RTO
EVT00000087,ORD0000014,Shipped,27-07-2026 07:28,Courier Partner,Non-RTO
EVT00000088,ORD0000014,Out for Delivery,02-08-2026 04:28,Courier Partner,Non-RTO
EVT00000089,ORD0000014,Delivery Failed,02-08-2026 08:09,Courier Partner,Non-RTO
EVT00000090,ORD0000014,Out for Delivery,03-08-2026 05:28,Courier Partner,Non-RTO
EVT00000091,ORD0000014,Delivery Failed,03-08-2026 08:22,Courier Partner,Non-RTO
EVT00000092,ORD0000015,Order Placed,25-02-2026 23:14,System,Non-RTO
EVT00000093,ORD0000015,Packed,26-02-2026 06:14,Seller Panel,Non-RTO
EVT00000094,ORD0000015,Shipped,26-02-2026 22:14,Courier Partner,Non-RTO
EVT00000095,ORD0000015,Out for Delivery,02-03-2026 18:14,Courier Partner,Non-RTO
EVT00000096,ORD0000015,Delivery Failed,02-03-2026 22:24,Courier Partner,Non-RTO
EVT00000097,ORD0000015,Out for Delivery,03-03-2026 18:14,Courier Partner,Non-RTO
EVT00000098,ORD0000015,Delivered,03-03-2026 22:20,Courier Partner,Non-RTO
EVT00000099,ORD0000016,Order Placed,02-05-2026 17:41,System,Non-RTO
EVT00000100,ORD0000016,Packed,03-05-2026 07:41,Seller Panel,Non-RTO
EVT00000101,ORD0000016,Shipped,04-05-2026 10:41,Courier Partner,Non-RTO
EVT00000102,ORD0000016,Out for Delivery,06-05-2026 07:41,Courier Partner,Non-RTO
EVT00000103,ORD0000016,Delivered,06-05-2026 11:40,Courier Partner,Non-RTO
EVT00000104,ORD0000017,Order Placed,11-04-2026 20:23,System,Non-RTO
EVT00000105,ORD0000017,Packed,12-04-2026 04:23,Seller Panel,Non-RTO
EVT00000106,ORD0000017,Shipped,13-04-2026 10:23,Courier Partner,Non-RTO
EVT00000107,ORD0000017,Out for Delivery,18-04-2026 06:23,Courier Partner,Non-RTO
EVT00000108,ORD0000017,Delivered,18-04-2026 10:36,Courier Partner,Non-RTO
EVT00000109,ORD0000018,Order Placed,03-05-2026 19:06,System,Non-RTO
EVT00000110,ORD0000018,Packed,04-05-2026 11:06,Seller Panel,Non-RTO
